ScheduleActivityID,ActivityScheduleTaskID,Rel,TaskType,Predecessor,PredecessorScheduleTaskID
CWA ASU-1A00 - Install Concrete,6,FS,Construct,CWA ASU-1A00 - Install Piling,1
CWA ASU-1A00 - Install Grout,27,FS,Construct,CWA ASU-1A00 - Install Concrete,6
CWA ASU-1A00 - Install Piling,1,FS,Construct,,
CWA ASU-1A00 - Install Piping Insulation,31,FS,Construct,,
CWA ASU-1A01 - Install Cable Tray,26,FS,Construct,CWA ASU-1A01 - Install Primary Steel,9
CWA ASU-1A01 - Install Electrical,32,FS,Construct,CWA ASU-1A01 - Install Piping,29
CWA ASU-1A01 - Install Instrumentation,33,FS,Construct,CWA ASU-1A01 - Install Piping,29
CWA ASU-1A01 - Install Misc Steel,10,FS,Construct,CWA ASU-1A01 - Install Primary Steel,9
CWA ASU-1A01 - Install Piling,1,FS,Construct,,
CWA ASU-1A01 - Install Piping,29,FS,Construct,CWA ASU-1A01 - Install Primary Steel,9
CWA ASU-1A01 - Install Piping Insulation,31,FS,Construct,CWA ASU-1A01 - Install Piping,29
CWA ASU-1A01 - Install Primary Steel,9,FS,Construct,CWA ASU-1A01 - Install Piling,1
CWA ASU-1A01 - Install UG Conduit,8,FS,Construct,,
CWA ASU-1A01 - Set 101-V207,,FS,Construct,CWA ASU-1A01 - Install Primary Steel,9
CWA ASU-1A01 - Set 101-V208,,FS,Construct,CWA ASU-1A01 - Install Primary Steel,9
CWA ASU-1A02 - Install Cable Tray,26,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Install Concrete,6,FS,Construct,CWA ASU-1A02 - Install UG Conduit,8
CWA ASU-1A02 - Install Concrete,6,FS,Construct,CWA ASU-1A02 - Install Piling,1
CWA ASU-1A02 - Install Electrical,32,FS,Construct,CWA ASU-1A02 - Install Piping,29
CWA ASU-1A02 - Install Grout,27,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Install Grout,27,FS,Construct,CWA ASU-1A02 - Install Concrete,6
CWA ASU-1A02 - Install Instrumentation,33,FS,Construct,CWA ASU-1A02 - Install Piping,29
CWA ASU-1A02 - Install Misc Steel,10,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Install Piling,1,FS,Construct,,
CWA ASU-1A02 - Install Piping,29,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Install Piping Insulation,31,FS,Construct,CWA ASU-1A02 - Install Piping,29
CWA ASU-1A02 - Install Primary Steel,9,FS,Construct,CWA ASU-1A02 - Install Piling,1
CWA ASU-1A02 - Install Primary Steel,9,FS,Construct,CWA ASU-1A02 - Install Concrete,6
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-1,21,FS,Construct,CWA ASU-1A02 - Install Piling,1
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-1,21,FS,Construct,CWA ASU-1A02 - Install Concrete,6
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-1,21,FS,Construct,CWA ASU-1A02 - Install UG Conduit,8
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-2,21,FS,Construct,CWA ASU-1A02 - Install Piling,1
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-2,21,FS,Construct,CWA ASU-1A02 - Install Concrete,6
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-2,21,FS,Construct,CWA ASU-1A02 - Install UG Conduit,8
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-3,21,FS,Construct,CWA ASU-1A02 - Install Piling,1
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-3,21,FS,Construct,CWA ASU-1A02 - Install Concrete,6
CWA ASU-1A02 - Install Transformer - VM-ASU-P132-3,21,FS,Construct,CWA ASU-1A02 - Install UG Conduit,8
